Episode,Result,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,P1Hits,P2Hits
499,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerCCDebuffer,276,1782,0.29,0.00,0.62,3,9,15
500,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerTrainingSkillPool,271,2464,0.01,0.08,0.56,4,17,14
501,BossWin,70.4,BossMeleeAggro,PlayerHybridSurvivor,PlayerTrainingSkillPool,400,1734,0.31,0.00,0.00,7,2,12
502,BossLose,87.7,BossRangedZoner,PlayerCCDebuffer,PlayerTrainingSkillPool,292,2500,0.00,0.54,0.00,2,23,2
503,BossLose,90.0,BossMeleeAggro,PlayerTrainingSkillPool,PlayerTrainingSkillPool,286,2430,0.03,0.00,0.57,10,3,15
504,BossLose,61.4,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,34,2500,0.00,0.83,1.00,0,15,1
505,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerTrainingSkillPool,200,2154,0.14,0.00,1.00,1,9,10
506,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerTrainingSkillPool,275,1401,0.44,0.00,0.63,6,9,9
507,BossLose,90.0,BossMeleeAggro,PlayerMeleeBurst,PlayerCCDebuffer,252,1728,0.31,0.00,0.74,7,9,13
508,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerCCDebuffer,210,1584,0.37,0.00,0.95,4,2,16
509,BossWin,25.5,BossMeleeAggro,PlayerHybridSurvivor,PlayerHybridSurvivor,400,393,0.84,0.00,0.00,4,1,2
510,BossLose,90.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerMeleeBurst,344,595,0.76,0.00,0.28,6,3,4
511,BossLose,90.0,BossMeleeAggro,PlayerHybridSurvivor,PlayerTrainingSkillPool,376,1572,0.37,0.00,0.12,6,2,12
512,BossWin,42.3,BossMeleeAggro,PlayerHybridSurvivor,PlayerTrainingSkillPool,400,626,0.75,0.00,0.00,5,1,3
513,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerMeleeBurst,200,2202,0.12,0.00,1.00,4,17,3
514,BossLose,51.5,BossTankSustain,PlayerTrainingSkillPool,PlayerHybridSurvivor,343,2500,0.00,0.29,0.00,2,14,4
515,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerCCDebuffer,200,1929,0.23,0.00,1.00,3,18,16
516,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerMeleeBurst,307,1747,0.30,0.00,0.47,3,1,9
517,BossLose,60.6,BossTankSustain,PlayerTrainingSkillPool,PlayerHybridSurvivor,61,2500,0.00,0.69,1.00,1,14,0
518,BossLose,64.0,BossTankSustain,PlayerTrainingSkillPool,PlayerHybridSurvivor,87,2500,0.00,0.66,0.91,2,16,2
519,BossLose,90.0,BossMeleeAggro,PlayerTrainingSkillPool,PlayerTrainingSkillPool,282,1544,0.38,0.00,0.59,5,9,6
520,BossWin,78.2,BossRangedZoner,PlayerTrainingSkillPool,PlayerMeleeBurst,400,946,0.62,0.00,0.00,4,3,5
521,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,200,1147,0.54,0.00,1.00,2,2,6
522,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerCCDebuffer,275,1890,0.24,0.00,0.62,6,8,17
523,BossLose,90.0,BossMeleeAggro,PlayerHybridSurvivor,PlayerCCDebuffer,200,768,0.69,0.00,1.00,1,0,15
524,BossLose,39.5,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,87,2500,0.00,0.98,0.58,0,9,7
525,BossLose,90.0,BossMeleeAggro,PlayerTrainingSkillPool,PlayerMeleeBurst,310,2163,0.13,0.00,0.45,4,3,10
526,BossLose,90.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerMeleeBurst,258,1792,0.28,0.00,0.71,2,3,10
527,BossWin,36.2,BossMeleeAggro,PlayerTrainingSkillPool,PlayerMeleeBurst,400,739,0.70,0.00,0.00,4,3,2
528,BossWin,70.5,BossTankSustain,PlayerMeleeBurst,PlayerTrainingSkillPool,400,2110,0.16,0.00,0.00,5,17,0
529,BossWin,65.4,BossTankSustain,PlayerHybridSurvivor,PlayerCCDebuffer,400,1717,0.31,0.00,0.00,4,15,1
530,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,200,1676,0.33,0.00,1.00,2,2,8
531,BossWin,21.3,BossMeleeAggro,PlayerCCDebuffer,PlayerMeleeBurst,400,450,0.82,0.00,0.00,2,4,1
532,BossLose,47.8,BossRangedZoner,PlayerMeleeBurst,PlayerCCDebuffer,100,2500,0.00,0.50,1.00,2,11,9
533,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerHybridSurvivor,0,1994,0.20,1.00,1.00,1,18,5
534,BossLose,90.0,BossTankSustain,PlayerMeleeBurst,PlayerHybridSurvivor,200,1722,0.31,0.00,1.00,1,5,7
535,BossLose,90.0,BossMeleeAggro,PlayerMeleeBurst,PlayerCCDebuffer,374,1177,0.53,0.00,0.13,6,4,9
536,BossLose,88.3,BossRangedZoner,PlayerTrainingSkillPool,PlayerCCDebuffer,200,2500,0.00,0.00,1.00,3,10,13
537,BossWin,27.8,BossMeleeAggro,PlayerTrainingSkillPool,PlayerCCDebuffer,400,898,0.64,0.00,0.00,4,5,3
538,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerMeleeBurst,212,1978,0.21,0.00,0.94,7,2,12
539,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerTrainingSkillPool,200,1085,0.57,0.00,1.00,1,5,7
540,BossWin,32.4,BossMeleeAggro,PlayerHybridSurvivor,PlayerMeleeBurst,400,1388,0.44,0.00,0.00,4,6,2
541,BossLose,90.0,BossMeleeAggro,PlayerHybridSurvivor,PlayerHybridSurvivor,281,395,0.84,0.00,0.59,4,1,3
542,BossWin,78.7,BossMeleeAggro,PlayerCCDebuffer,PlayerTrainingSkillPool,400,1989,0.20,0.00,0.00,3,14,5
543,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerMeleeBurst,261,1791,0.28,0.00,0.70,1,9,11
544,BossLose,61.3,BossMeleeAggro,PlayerTrainingSkillPool,PlayerMeleeBurst,36,2500,0.00,0.82,1.00,1,14,3
545,BossLose,42.3,BossTankSustain,PlayerTrainingSkillPool,PlayerCCDebuffer,45,2500,0.00,0.86,0.91,0,10,4
546,BossLose,85.8,BossRangedZoner,PlayerCCDebuffer,PlayerTrainingSkillPool,200,2500,0.00,0.00,1.00,2,7,18
547,BossLose,90.0,BossMeleeAggro,PlayerHybridSurvivor,PlayerCCDebuffer,200,1680,0.33,0.00,1.00,7,4,13
548,BossLose,90.0,BossMeleeAggro,PlayerCCDebuffer,PlayerHybridSurvivor,251,1011,0.60,0.21,0.54,3,16,0
549,BossLose,90.0,BossMeleeAggro,PlayerHybridSurvivor,PlayerCCDebuffer,245,1988,0.20,0.00,0.77,3,5,15
550,BossLose,90.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerTrainingSkillPool,345,1816,0.27,0.27,0.00,7,12,10
551,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerMeleeBurst,300,2363,0.05,0.00,0.50,4,5,9
552,BossLose,59.1,BossTankSustain,PlayerTrainingSkillPool,PlayerCCDebuffer,151,2500,0.00,0.24,1.00,1,13,12
553,BossLose,90.0,BossMeleeAggro,PlayerCCDebuffer,PlayerMeleeBurst,213,1000,0.60,0.00,0.93,10,5,3
554,BossLose,90.0,BossMeleeAggro,PlayerCCDebuffer,PlayerMeleeBurst,200,594,0.76,0.00,1.00,9,6,1
555,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerHybridSurvivor,322,1225,0.51,0.00,0.39,4,8,2
556,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,207,1082,0.57,0.00,0.96,0,3,3
557,BossLose,90.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerHybridSurvivor,358,2383,0.05,0.00,0.21,4,9,8
558,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerCCDebuffer,200,1996,0.20,0.00,1.00,2,6,20
559,BossWin,31.2,BossRangedZoner,PlayerHybridSurvivor,PlayerCCDebuffer,400,986,0.61,0.00,0.00,3,6,1
560,BossWin,23.7,BossRangedZoner,PlayerCCDebuffer,PlayerTrainingSkillPool,400,376,0.85,0.00,0.00,4,3,1
561,BossWin,36.4,BossRangedZoner,PlayerTrainingSkillPool,PlayerHybridSurvivor,400,715,0.71,0.00,0.00,6,6,2
562,BossLose,65.6,BossRangedZoner,PlayerHybridSurvivor,PlayerCCDebuffer,126,2500,0.00,0.37,1.00,0,9,12
563,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerMeleeBurst,357,1639,0.34,0.00,0.22,2,11,5
564,BossWin,78.3,BossRangedZoner,PlayerTrainingSkillPool,PlayerCCDebuffer,400,1898,0.24,0.00,0.00,5,4,16
565,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerMeleeBurst,265,1291,0.48,0.00,0.68,2,15,3
566,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerTrainingSkillPool,383,1904,0.24,0.00,0.08,3,9,12
567,BossWin,56.8,BossTankSustain,PlayerTrainingSkillPool,PlayerHybridSurvivor,400,1029,0.59,0.00,0.00,4,7,1
568,BossLose,55.1,BossTankSustain,PlayerTrainingSkillPool,PlayerMeleeBurst,158,2500,0.00,0.42,0.79,2,15,4
569,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerTrainingSkillPool,258,2320,0.07,0.00,0.71,3,14,8
570,BossWin,61.8,BossMeleeAggro,PlayerTrainingSkillPool,PlayerHybridSurvivor,400,808,0.68,0.00,0.00,5,1,4
571,BossLose,41.0,BossRangedZoner,PlayerMeleeBurst,PlayerCCDebuffer,67,2500,0.00,0.66,1.00,1,11,5
572,BossLose,66.3,BossTankSustain,PlayerHybridSurvivor,PlayerCCDebuffer,329,2500,0.00,0.36,0.00,2,12,11
573,BossLose,76.8,BossRangedZoner,PlayerMeleeBurst,PlayerTrainingSkillPool,219,2500,0.00,0.00,0.91,5,10,12
574,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerHybridSurvivor,200,1282,0.49,0.00,1.00,2,4,6
575,BossLose,75.8,BossMeleeAggro,PlayerMeleeBurst,PlayerTrainingSkillPool,307,2500,0.00,0.00,0.47,7,5,15
576,BossLose,86.7,BossTankSustain,PlayerCCDebuffer,PlayerHybridSurvivor,0,2500,0.00,1.00,1.00,0,17,8
577,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerTrainingSkillPool,293,1094,0.56,0.00,0.53,7,7,4
578,BossLose,73.5,BossTankSustain,PlayerCCDebuffer,PlayerMeleeBurst,357,2500,0.00,0.00,0.22,5,7,12
579,BossLose,90.0,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,265,1330,0.47,0.00,0.67,6,6,4
580,BossWin,54.2,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,400,2136,0.15,0.00,0.00,1,10,5
581,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerTrainingSkillPool,0,1914,0.23,1.00,1.00,0,15,8
582,BossLose,76.7,BossRangedZoner,PlayerTrainingSkillPool,PlayerHybridSurvivor,222,2500,0.00,0.00,0.89,6,6,10
583,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerCCDebuffer,205,2000,0.20,0.00,0.97,6,8,18
584,BossLose,81.5,BossTankSustain,PlayerCCDebuffer,PlayerTrainingSkillPool,303,2500,0.00,0.49,0.00,3,23,5
585,BossLose,79.5,BossTankSustain,PlayerMeleeBurst,PlayerCCDebuffer,326,2500,0.00,0.00,0.37,4,13,10
586,BossWin,30.0,BossRangedZoner,PlayerCCDebuffer,PlayerCCDebuffer,400,357,0.86,0.00,0.00,4,2,5
587,BossLose,90.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerHybridSurvivor,164,2428,0.03,0.43,0.75,3,25,2
588,BossLose,83.0,BossMeleeAggro,PlayerHybridSurvivor,PlayerCCDebuffer,288,2500,0.00,0.00,0.56,6,3,20
589,BossLose,58.0,BossTankSustain,PlayerCCDebuffer,PlayerTrainingSkillPool,303,2500,0.00,0.02,0.47,3,12,11
590,BossLose,65.4,BossRangedZoner,PlayerCCDebuffer,PlayerTrainingSkillPool,37,2500,0.00,0.81,1.00,0,15,5
591,BossLose,90.0,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,380,1735,0.31,0.00,0.10,8,6,7
592,BossWin,51.8,BossRangedZoner,PlayerTrainingSkillPool,PlayerMeleeBurst,400,929,0.63,0.00,0.00,7,3,4
593,BossLose,54.6,BossRangedZoner,PlayerMeleeBurst,PlayerCCDebuffer,186,2500,0.00,0.07,1.00,0,14,8
594,BossLose,90.0,BossRangedZoner,PlayerMeleeBurst,PlayerTrainingSkillPool,302,2135,0.15,0.00,0.49,9,3,12
595,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerMeleeBurst,280,2376,0.05,0.00,0.60,4,6,11
596,BossWin,70.8,BossRangedZoner,PlayerCCDebuffer,PlayerCCDebuffer,400,1601,0.36,0.00,0.00,6,1,14
597,BossLose,64.9,BossTankSustain,PlayerHybridSurvivor,PlayerTrainingSkillPool,200,2500,0.00,0.00,1.00,3,9,11
598,BossWin,48.5,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,400,2480,0.01,0.00,0.00,3,11,5
599,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerCCDebuffer,200,1285,0.49,0.00,1.00,5,1,15
600,BossLose,90.0,BossMeleeAggro,PlayerHybridSurvivor,PlayerTrainingSkillPool,344,1243,0.50,0.00,0.28,3,0,7
601,BossLose,90.0,BossMeleeAggro,PlayerTrainingSkillPool,PlayerTrainingSkillPool,332,1515,0.39,0.00,0.34,6,3,9
602,BossWin,86.9,BossRangedZoner,PlayerHybridSurvivor,PlayerCCDebuffer,400,1093,0.56,0.00,0.00,6,1,13
603,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerMeleeBurst,200,950,0.62,0.00,1.00,2,5,3
604,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerTrainingSkillPool,128,1149,0.54,0.36,1.00,1,6,5
605,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerMeleeBurst,274,2161,0.14,0.00,0.63,5,7,11
606,BossWin,67.6,BossMeleeAggro,PlayerTrainingSkillPool,PlayerTrainingSkillPool,400,672,0.73,0.00,0.00,3,3,0
607,BossLose,65.1,BossTankSustain,PlayerCCDebuffer,PlayerTrainingSkillPool,39,2500,0.00,0.81,1.00,0,16,10
608,BossWin,70.2,BossRangedZoner,PlayerTrainingSkillPool,PlayerMeleeBurst,400,1340,0.46,0.00,0.00,6,9,2
609,BossWin,36.8,BossMeleeAggro,PlayerHybridSurvivor,PlayerMeleeBurst,400,1048,0.58,0.00,0.00,3,4,3
610,BossWin,46.6,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,400,1221,0.51,0.00,0.00,7,2,6
611,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerMeleeBurst,0,1498,0.40,1.00,1.00,0,19,1
612,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,282,1525,0.39,0.00,0.59,1,3,7
613,BossLose,71.5,BossTankSustain,PlayerTrainingSkillPool,PlayerCCDebuffer,200,2500,0.00,0.00,1.00,2,12,15
614,BossWin,36.5,BossRangedZoner,PlayerTrainingSkillPool,PlayerMeleeBurst,400,1305,0.48,0.00,0.00,4,4,6
615,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerHybridSurvivor,268,1726,0.31,0.00,0.66,8,5,7
616,BossWin,62.4,BossTankSustain,PlayerMeleeBurst,PlayerHybridSurvivor,400,2022,0.19,0.00,0.00,2,8,5
617,BossWin,20.3,BossRangedZoner,PlayerTrainingSkillPool,PlayerMeleeBurst,400,480,0.81,0.00,0.00,3,4,0
618,BossLose,90.0,BossMeleeAggro,PlayerCCDebuffer,PlayerTrainingSkillPool,200,1335,0.47,0.00,1.00,7,2,11
619,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerMeleeBurst,200,2058,0.18,0.00,1.00,2,5,9
620,BossLose,70.1,BossTankSustain,PlayerHybridSurvivor,PlayerCCDebuffer,28,2500,0.00,0.86,1.00,0,16,9
621,BossLose,90.0,BossMeleeAggro,PlayerCCDebuffer,PlayerHybridSurvivor,0,1981,0.21,1.00,1.00,1,20,1
622,BossLose,90.0,BossMeleeAggro,PlayerCCDebuffer,PlayerCCDebuffer,286,1988,0.21,0.00,0.57,4,4,17
623,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerCCDebuffer,200,1846,0.26,0.00,1.00,2,4,15
624,BossLose,88.4,BossRangedZoner,PlayerTrainingSkillPool,PlayerCCDebuffer,72,2500,0.00,0.68,0.96,0,17,17
625,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerCCDebuffer,201,2247,0.10,0.00,0.99,0,22,15
626,BossWin,41.9,BossTankSustain,PlayerMeleeBurst,PlayerCCDebuffer,400,443,0.82,0.00,0.00,3,0,4
627,BossWin,60.1,BossRangedZoner,PlayerTrainingSkillPool,PlayerMeleeBurst,400,1544,0.38,0.00,0.00,4,7,6
628,BossLose,58.5,BossTankSustain,PlayerCCDebuffer,PlayerTrainingSkillPool,75,2500,0.00,1.00,0.63,1,14,7
629,BossLose,56.4,BossRangedZoner,PlayerTrainingSkillPool,PlayerCCDebuffer,116,2500,0.00,0.56,0.86,1,11,11
630,BossWin,62.2,BossMeleeAggro,PlayerHybridSurvivor,PlayerCCDebuffer,400,722,0.71,0.00,0.00,5,3,8
631,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerMeleeBurst,289,250,0.90,0.00,0.55,2,2,1
632,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerTrainingSkillPool,300,2464,0.01,0.20,0.30,2,12,8
633,BossLose,37.5,BossRangedZoner,PlayerMeleeBurst,PlayerTrainingSkillPool,105,2500,0.00,0.72,0.75,1,8,7
634,BossLose,90.0,BossMeleeAggro,PlayerTrainingSkillPool,PlayerCCDebuffer,362,1743,0.30,0.00,0.19,7,4,17
635,BossWin,48.3,BossMeleeAggro,PlayerTrainingSkillPool,PlayerHybridSurvivor,400,1622,0.35,0.00,0.00,3,5,6
636,BossLose,90.0,BossMeleeAggro,PlayerTrainingSkillPool,PlayerHybridSurvivor,322,672,0.73,0.00,0.39,5,3,0
637,BossWin,57.4,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,400,994,0.60,0.00,0.00,6,7,2
638,BossLose,90.0,BossMeleeAggro,PlayerCCDebuffer,PlayerHybridSurvivor,226,1974,0.21,0.00,0.87,5,17,3
639,BossLose,90.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerHybridSurvivor,290,1687,0.33,0.00,0.55,3,9,8
640,BossLose,56.5,BossRangedZoner,PlayerTrainingSkillPool,PlayerCCDebuffer,205,2500,0.00,0.97,0.00,4,10,11
641,BossLose,73.4,BossTankSustain,PlayerCCDebuffer,PlayerTrainingSkillPool,0,2500,0.00,1.00,1.00,0,15,11
642,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerMeleeBurst,200,2227,0.11,0.00,1.00,2,18,1
643,BossWin,31.1,BossRangedZoner,PlayerTrainingSkillPool,PlayerMeleeBurst,400,826,0.67,0.00,0.00,5,1,5
644,BossLose,90.0,BossRangedZoner,PlayerMeleeBurst,PlayerCCDebuffer,212,1510,0.40,0.00,0.94,3,4,12
645,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerCCDebuffer,200,1350,0.46,0.00,1.00,2,2,15
646,BossWin,87.4,BossMeleeAggro,PlayerCCDebuffer,PlayerMeleeBurst,400,924,0.63,0.00,0.00,6,6,2
647,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerCCDebuffer,286,1193,0.52,0.00,0.57,6,2,16
648,BossWin,54.7,BossRangedZoner,PlayerHybridSurvivor,PlayerMeleeBurst,400,1106,0.56,0.00,0.00,5,5,3
649,BossLose,90.0,BossTankSustain,PlayerMeleeBurst,PlayerCCDebuffer,200,1925,0.23,0.00,1.00,3,4,17
650,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerMeleeBurst,200,1167,0.53,0.00,1.00,2,5,4
651,BossWin,38.2,BossMeleeAggro,PlayerCCDebuffer,PlayerTrainingSkillPool,400,48,0.98,0.00,0.00,7,2,0
652,BossLose,65.4,BossRangedZoner,PlayerHybridSurvivor,PlayerTrainingSkillPool,244,2500,0.00,0.32,0.47,2,10,8
653,BossLose,48.8,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,160,2500,0.00,0.20,1.00,2,15,1
654,BossWin,23.7,BossRangedZoner,PlayerTrainingSkillPool,PlayerHybridSurvivor,400,464,0.81,0.00,0.00,4,4,0
655,BossLose,58.0,BossRangedZoner,PlayerMeleeBurst,PlayerCCDebuffer,59,2500,0.00,0.70,1.00,0,11,13
656,BossLose,89.7,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,323,2500,0.00,0.00,0.38,9,3,13
657,BossLose,90.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerHybridSurvivor,302,555,0.78,0.00,0.49,6,3,2
658,BossLose,90.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerCCDebuffer,305,1574,0.37,0.00,0.47,9,1,25
659,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerCCDebuffer,324,2484,0.01,0.00,0.38,0,9,19
660,BossWin,32.6,BossMeleeAggro,PlayerHybridSurvivor,PlayerCCDebuffer,400,1129,0.55,0.00,0.00,4,5,2
661,BossLose,90.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerTrainingSkillPool,200,1748,0.30,0.00,1.00,2,3,9
662,BossWin,41.1,BossRangedZoner,PlayerMeleeBurst,PlayerCCDebuffer,400,1379,0.45,0.00,0.00,4,9,6
663,BossWin,42.7,BossMeleeAggro,PlayerTrainingSkillPool,PlayerCCDebuffer,400,550,0.78,0.00,0.00,5,2,5
664,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerCCDebuffer,214,1485,0.41,0.00,0.93,3,4,14
